#! FIELDS time phi omega psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_omega -pi
#! SET max_omega pi
#! SET min_psi -pi
#! SET max_psi pi
 346.000000 -1.399050 -0.221216 3.093595
 347.000000 -1.192218 -0.264863 2.882208
 348.000000 -0.967653 -0.528022 2.981994
 349.000000 -0.886730 -0.266491 2.887279
 350.000000 -1.444632 -0.135086 -2.894555
 351.000000 -1.002820 -0.339728 2.911010
 352.000000 -1.065366 -0.380292 3.077638
 353.000000 -0.810187 -0.635798 2.855251
 354.000000 -1.254355 -0.340199 -2.984152
 355.000000 -1.047954 -0.068018 2.945614
 356.000000 -1.097440 -0.458643 -3.117007
 357.000000 -1.467743 0.075157 2.849937
 358.000000 -2.207971 0.827263 -2.730971
 359.000000 -1.112854 -0.351766 2.856244
 360.000000 -0.871430 -0.624827 3.073232
 361.000000 -1.162127 -0.043575 2.757084
 362.000000 -1.449028 -0.212371 3.095558
 363.000000 -1.538020 0.130970 2.949477
 364.000000 -1.518249 0.014278 3.080841
 365.000000 -1.230558 -0.263335 3.104907
 366.000000 -1.095864 -0.305605 3.054639
 367.000000 -1.664526 0.220420 2.971220
 368.000000 -0.866832 -0.527933 2.926607
 369.000000 -1.509191 -0.051856 3.082938
 370.000000 -1.702801 -0.135921 -2.969092
 371.000000 -1.257640 -0.288130 -2.946679
 372.000000 -1.002965 -0.378755 2.972405
 373.000000 -1.051238 -0.315066 2.921603
 374.000000 -1.160236 -0.269481 2.892210
 375.000000 -1.182183 -0.308655 2.993077
 376.000000 -1.736866 0.161656 -3.027709
 377.000000 -0.884129 -0.359842 3.035941
 378.000000 -1.742381 0.026557 -3.080457
 379.000000 -1.281335 -0.229326 3.094385
 380.000000 -1.212356 -0.162520 2.746572
 381.000000 -1.376983 0.198319 -2.840798
 382.000000 -1.295573 -0.220535 2.828758
 383.000000 -1.907692 0.305358 -2.930032
 384.000000 -1.513333 -0.120117 -3.130164
 385.000000 -1.234242 -0.255438 2.936935
 386.000000 -1.159174 -0.414534 2.932110
 387.000000 -1.007794 -0.449721 2.823718
 388.000000 -1.277698 -0.203324 2.536232
 389.000000 -1.356133 -0.347848 -3.073955
 390.000000 -1.200320 -0.099690 3.018159
 391.000000 -1.233127 -0.228568 3.001245
 392.000000 -1.644133 0.072298 -3.043566
 393.000000 -0.978570 -0.570233 3.073017
 394.000000 -1.092179 -0.180499 3.001858
 395.000000 -0.957083 -0.415999 2.953304
 396.000000 -1.053727 -0.412784 3.070725
 397.000000 -1.390585 -0.251256 -3.024210
 398.000000 -1.113753 -0.348382 2.940530
 399.000000 -1.156082 -0.117112 2.696709
 400.000000 -1.143491 -0.197244 2.745216
 401.000000 -0.819695 -0.466810 2.944341
 402.000000 -1.316254 -0.054047 2.909544
 403.000000 -1.049908 -0.393688 2.767799
 404.000000 -1.278006 -0.087232 2.654308
 405.000000 -1.383397 0.072657 3.073008
 406.000000 -1.428450 -0.148054 3.098701
 407.000000 -1.411096 0.053220 2.857562
 408.000000 -1.317407 -0.240663 3.054482
 409.000000 -1.186112 -0.331574 3.064119
 410.000000 -0.991628 -0.375144 3.005853
 411.000000 -1.380343 -0.026341 -2.990569
 412.000000 -1.176891 -0.185989 3.043164
 413.000000 -1.373651 -0.153338 2.665841
 414.000000 -1.455486 -0.219033 2.990906
 415.000000 -1.255566 -0.224824 2.894936
 416.000000 -1.442042 0.059414 3.057587
 417.000000 -1.118586 -0.286270 3.011973
 418.000000 -1.141834 -0.408179 2.750100
 419.000000 -1.312689 -0.218288 3.080795
 420.000000 -0.803328 -0.696244 -3.117146
 421.000000 -1.345718 -0.060939 2.998863
 422.000000 -0.745960 -0.595008 2.912840
 423.000000 -1.383664 -0.060943 2.934699
 424.000000 -1.368620 -0.254810 2.829236
 425.000000 -1.494551 -0.058021 3.005668
 426.000000 -0.898108 -0.476403 2.898140
 427.000000 -1.287642 -0.134266 2.950698
 428.000000 -1.232710 -0.323924 2.950418
 429.000000 -1.202468 -0.544098 3.079909
 430.000000 -1.115238 -0.459746 -3.098971
 431.000000 -0.977187 -0.415090 2.812123
 432.000000 -1.930449 0.454045 -2.789689
 433.000000 -1.364080 -0.245749 2.787710
 434.000000 -0.972450 -0.407117 2.918241
 435.000000 -1.515624 0.089712 2.872890
 436.000000 -1.016830 -0.114949 2.749436
 437.000000 -0.924049 -0.568877 2.830919
 438.000000 -1.076493 -0.473541 2.814480
 439.000000 -0.820945 -0.335089 2.780375
 440.000000 -1.114026 -0.476807 3.025724
 441.000000 -1.116438 -0.336771 2.837458
 442.000000 -1.211291 -0.191976 2.952373
 443.000000 -0.957408 -0.403012 2.746514
 444.000000 -1.362823 -0.077854 2.874430
 445.000000 -0.769572 -0.516297 2.957304
 446.000000 -1.588394 0.134080 3.132768
 447.000000 -0.852289 -0.643689 2.970527
 448.000000 -1.488742 -0.176096 2.872345
 449.000000 -1.294218 -0.500507 3.103693
 450.000000 -1.124806 -0.245464 2.910257
 451.000000 -1.186866 -0.266160 2.866164
 452.000000 -1.664824 0.095005 -3.134885
 453.000000 -1.800806 0.208343 -3.009838
 454.000000 -1.273450 -0.312958 2.984644
 455.000000 -1.056111 -0.386275 2.756835
 456.000000 -1.258918 -0.325273 -3.031940
 457.000000 -1.233145 -0.272259 3.087901
 458.000000 -1.943642 0.239207 -3.111568
 459.000000 -0.879593 -0.633711 2.840280
 460.000000 -1.237178 -0.284571 2.899756
 461.000000 -0.882976 -0.270942 2.740744
 462.000000 -1.105664 -0.241023 3.096511
 463.000000 -1.069730 -0.292148 2.741069
 464.000000 -1.244446 -0.060728 -3.116029
 465.000000 -1.137354 -0.214868 2.988346
 466.000000 -1.536787 0.063615 3.030964
 467.000000 -1.016985 -0.351129 2.999859
 468.000000 -1.971288 0.505949 -3.041161
 469.000000 -1.392319 -0.111025 -3.129534
 470.000000 -1.215235 -0.148222 2.879963
 471.000000 -1.297376 -0.046388 2.959227
 472.000000 -1.151268 -0.113426 2.996049
 473.000000 -1.108571 -0.391978 2.634230
 474.000000 -1.689829 -0.069941 -2.893258
 475.000000 -1.127736 -0.397974 2.864351
 476.000000 -1.193975 -0.291249 2.753636
 477.000000 -1.225711 -0.262638 3.079396
 478.000000 -1.201248 -0.183591 3.097831
 479.000000 -1.428172 -0.127464 -3.067577
 480.000000 -1.165993 -0.317728 2.915069
 481.000000 -1.291544 0.037933 2.817830
 482.000000 -1.396848 -0.039182 3.120555
 483.000000 -1.320793 -0.160651 3.037595
 484.000000 -1.095726 -0.304720 2.869247
 485.000000 -1.258047 -0.427605 3.103944
 486.000000 -1.428070 -0.197344 3.053473
 487.000000 -1.117649 -0.326143 3.002334
 488.000000 -1.546414 -0.172467 3.007036
 489.000000 -1.305519 -0.025742 2.803107
 490.000000 -1.095170 -0.328302 2.963477
 491.000000 -2.171229 0.394934 -2.996834
 492.000000 -1.152138 -0.025880 2.582193
 493.000000 -0.963318 -0.320719 2.795337
 494.000000 -1.174895 -0.281812 2.908439
 495.000000 -1.873291 0.014173 -2.807348
 496.000000 -2.022950 0.194482 -3.002272
 497.000000 -1.309928 -0.285549 2.858166
 498.000000 -1.956197 0.365901 3.050848
 499.000000 -1.307803 -0.091754 -3.079050
 500.000000 -1.379255 -0.239159 2.816047
 501.000000 -1.148274 -0.057781 3.050022
 502.000000 -1.261881 -0.274816 2.935915
 503.000000 -1.312868 -0.129164 3.107272
 504.000000 -1.229022 -0.023270 2.892838
 505.000000 -0.907640 -0.442372 2.836638
 506.000000 -1.243994 -0.222608 2.969528
 507.000000 -1.942495 0.385508 3.085053
 508.000000 -1.349154 -0.215862 2.791823
 509.000000 -1.522375 0.115937 2.926948
 510.000000 -1.657943 0.102215 -3.086869
 511.000000 -1.395454 -0.025930 2.927496
 512.000000 -1.431545 -0.354116 2.810830
 513.000000 -1.064526 -0.232161 3.015710
 514.000000 -0.782626 -0.474245 -3.116025
 515.000000 -0.710210 -0.534701 2.821943
 516.000000 -1.029955 -0.591415 2.985427
 517.000000 -1.398310 -0.017718 2.865647
 518.000000 -1.172535 -0.257848 2.837211
 519.000000 -1.503268 0.101688 2.918209
 520.000000 -1.278448 0.002345 2.872671
 521.000000 -2.011660 0.443436 -3.132631
 522.000000 -1.484978 0.152225 3.135744
 523.000000 -1.230319 -0.198901 2.605156
 524.000000 -1.123587 -0.382963 2.898974
 525.000000 -1.537709 -0.239349 -2.719840
 526.000000 -1.162829 -0.386367 -2.914459
